,Frame,Detections
0,1,0
1,2,1
2,3,1
3,4,2
4,5,2
5,6,3
6,7,2
7,8,2
8,9,1
9,10,2
10,11,2
11,12,1
12,13,2
13,14,2
14,15,4
15,1,4
16,2,3
17,3,5
18,4,4
19,5,4
20,6,5
21,7,5
22,8,5
23,9,3
24,10,1
25,11,1
26,12,1
27,13,1
28,14,0
29,15,0
30,1,1
31,2,1
32,3,1
33,4,1
34,5,0
35,6,0
36,7,0
37,8,0
38,9,0
39,10,0
40,11,1
41,12,0
42,13,0
43,14,0
44,15,1
45,1,1
46,2,1
47,3,1
48,4,0
49,5,1
50,6,0
51,7,1
52,8,0
53,9,0
54,10,0
55,11,1
56,12,1
57,13,1
58,14,1
59,15,1
60,1,2
61,2,2
62,3,2
63,4,2
64,5,2
65,6,2
66,7,3
67,8,3
68,9,2
69,10,2
70,11,5
71,12,4
72,13,5
73,14,4
74,15,5
75,1,4
76,2,3
77,3,3
78,4,4
79,5,5
80,6,4
81,7,3
82,8,4
83,9,4
84,10,5
85,11,5
86,12,5
87,13,4
88,14,4
89,15,4
90,1,1
91,2,1
92,3,1
93,4,1
94,5,1
95,6,1
96,7,3
97,8,3
98,9,3
99,10,3
100,11,3
101,12,3
102,13,5
103,14,4
104,15,4
105,1,2
106,2,2
107,3,2
108,4,2
109,5,3
110,6,3
111,7,3
112,8,3
113,9,2
114,10,4
115,11,3
116,12,4
117,13,4
118,14,5
119,15,4
120,1,2
121,2,1
122,3,0
123,4,0
124,5,0
125,6,2
126,7,0
127,8,4
128,9,4
129,10,4
130,11,1
131,12,1
132,13,1
133,14,3
134,15,3
135,1,3
136,2,3
137,3,4
138,4,4
139,5,4
140,6,4
141,7,3
142,8,3
143,9,4
144,10,3
145,11,2
146,12,2
147,13,2
148,14,2
149,15,2
150,1,2
151,2,1
152,3,1
153,4,1
154,5,0
155,6,1
156,7,1
157,8,1
158,9,1
159,10,1
160,11,1
161,12,1
162,13,1
163,14,2
164,15,2
165,1,3
166,2,3
167,3,3
168,4,3
169,5,3
170,6,3
171,7,3
172,8,3
173,9,3
174,10,2
175,11,2
176,12,2
177,13,3
178,14,2
179,15,2
180,1,2
181,2,1
182,3,2
