,Frame,Detections
0,1,13
1,2,13
2,3,13
3,4,13
4,5,13
5,6,13
6,7,12
7,8,12
8,9,12
9,10,12
10,11,13
11,12,11
12,13,13
13,14,13
14,15,15
15,16,14
16,17,15
17,18,15
18,19,14
19,20,14
20,21,13
21,22,12
22,23,12
23,24,14
24,25,13
25,26,14
26,27,14
27,28,13
28,29,15
29,30,15
30,31,14
31,32,15
32,33,16
33,34,15
34,35,15
35,36,16
36,37,16
37,38,17
38,39,17
39,40,17
40,41,17
41,42,16
42,43,16
43,44,16
44,45,16
45,46,16
46,47,16
47,48,18
48,49,18
49,50,19
50,51,19
51,52,19
52,53,19
53,54,19
54,55,19
55,56,19
56,57,19
57,58,19
58,59,20
59,60,21
60,61,20
61,62,21
62,63,21
63,64,20
64,65,20
65,66,20
66,67,19
67,68,20
68,69,19
69,70,19
70,71,20
71,72,20
72,73,20
73,74,20
74,75,20
75,76,22
76,77,22
77,78,21
78,79,21
79,80,20
80,81,20
81,82,20
82,83,20
83,84,20
84,85,20
85,86,20
86,87,20
87,88,18
88,89,19
89,90,18
90,91,19
91,92,19
92,93,20
93,94,19
94,95,19
95,96,19
96,97,20
97,98,19
98,99,20
99,100,21
100,101,21
101,102,20
102,103,21
103,104,22
104,105,23
105,106,23
106,107,21
107,108,21
108,109,21
109,110,22
110,111,22
111,112,22
112,113,22
113,114,22
114,115,22
115,116,22
116,117,22
117,118,22
118,119,23
119,120,24
120,121,22
121,122,19
122,123,19
123,124,18
124,125,18
125,126,19
126,127,20
127,128,20
128,129,19
129,130,19
130,131,19
131,132,19
132,133,19
133,134,19
134,135,19
135,136,18
136,137,19
137,138,19
138,139,20
139,140,21
140,141,21
141,142,20
142,143,20
143,144,20
144,145,19
145,146,20
146,147,19
147,148,19
148,149,19
149,150,19
150,151,20
151,152,21
152,153,22
153,154,22
154,155,20
155,156,20
156,157,21
157,158,20
158,159,20
159,160,20
160,161,20
161,162,21
162,163,20
163,164,20
164,165,20
165,166,20
166,167,20
167,168,21
168,169,20
169,170,19
170,171,19
171,172,19
172,173,19
173,174,18
174,175,20
175,176,18
176,177,18
177,178,18
178,179,18
179,180,18
180,181,19
181,182,19
182,183,20
183,184,19
184,185,18
185,186,18
186,187,19
187,188,18
188,189,19
189,190,20
190,191,21
191,192,19
192,193,20
193,194,19
194,195,19
195,196,19
196,197,18
197,198,19
198,199,19
199,200,19
200,201,19
201,202,19
202,203,20
203,204,21
204,205,21
205,206,22
206,207,21
207,208,21
208,209,20
209,210,20
210,211,20
211,212,19
212,213,19
213,214,19
214,215,19
215,216,19
216,217,19
217,218,20
218,219,19
219,220,17
220,221,19
221,222,20
222,223,20
223,224,20
224,225,19
225,226,20
226,227,20
227,228,20
228,229,22
229,230,21
230,231,21
231,232,20
232,233,21
233,234,21
234,235,21
235,236,22
236,237,23
237,238,22
238,239,22
239,240,21
240,241,21
241,242,23
242,243,21
243,244,22
244,245,22
245,246,22
246,247,23
247,248,22
248,249,22
249,250,20
250,251,21
251,252,21
252,253,20
253,254,19
254,255,20
255,256,20
256,257,20
257,258,20
258,259,19
259,260,20
260,261,20
261,262,21
262,263,21
263,264,21
264,265,20
265,266,20
266,267,20
267,268,20
268,269,19
269,270,20
270,271,20
271,272,20
272,273,20
273,274,19
274,275,20
275,276,20
276,277,20
277,278,19
278,279,20
279,280,20
280,281,21
281,282,21
282,283,22
283,284,21
284,285,22
285,286,22
286,287,22
287,288,22
288,289,21
289,290,22
290,291,23
291,292,22
292,293,23
293,294,22
294,295,21
295,296,21
296,297,22
297,298,22
298,299,21
299,300,20
300,301,21
301,302,20
302,303,18
303,304,17
304,305,18
305,306,18
306,307,19
307,308,20
308,309,20
309,310,19
310,311,20
311,312,19
312,313,20
313,314,20
314,315,20
315,316,20
316,317,20
317,318,21
318,319,21
319,320,19
320,321,20
321,322,20
322,323,20
323,324,20
324,325,20
325,326,20
326,327,20
327,328,21
328,329,21
329,330,21
330,331,18
331,332,19
332,333,20
333,334,20
334,335,18
335,336,19
336,337,20
337,338,19
338,339,18
339,340,19
340,341,18
341,342,19
342,343,17
343,344,18
344,345,15
345,346,16
346,347,16
347,348,14
348,349,16
349,350,15
350,351,16
351,352,17
352,353,17
353,354,16
354,355,16
355,356,17
356,357,15
357,358,16
358,359,16
359,360,15
360,361,17
361,362,17
362,363,17
363,364,18
364,365,18
365,366,18
366,367,17
367,368,16
368,369,17
369,370,17
370,371,19
371,372,19
372,373,20
373,374,19
374,375,19
375,376,18
376,377,18
377,378,18
378,379,18
379,380,18
380,381,18
381,382,17
382,383,16
383,384,19
384,385,19
385,386,18
386,387,18
387,388,18
388,389,18
389,390,18
390,391,17
391,392,18
392,393,17
393,394,18
394,395,19
395,396,18
396,397,18
397,398,18
398,399,19
399,400,20
400,401,19
401,402,19
402,403,19
403,404,18
404,405,18
405,406,19
406,407,18
407,408,18
408,409,17
409,410,16
410,411,17
411,412,18
412,413,18
413,414,18
414,415,18
415,416,18
416,417,17
417,418,17
418,419,18
419,420,19
420,421,19
421,422,19
422,423,20
423,424,19
424,425,20
425,426,20
426,427,22
427,428,21
428,429,21
429,430,20
430,431,20
431,432,21
432,433,22
433,434,19
434,435,18
435,436,20
436,437,20
437,438,20
438,439,18
439,440,18
440,441,18
441,442,20
442,443,19
443,444,19
444,445,18
445,446,20
446,447,18
447,448,17
448,449,17
449,450,17
450,451,17
451,452,19
452,453,19
453,454,19
454,455,18
455,456,18
456,457,18
457,458,19
458,459,19
459,460,18
460,461,17
461,462,17
462,463,19
463,464,17
464,465,17
465,466,17
466,467,17
467,468,17
468,469,17
469,470,18
470,471,18
471,472,17
472,473,17
473,474,18
474,475,17
475,476,18
476,477,17
477,478,18
478,479,18
479,480,20
480,481,19
481,482,18
482,483,18
483,484,18
484,485,18
485,486,18
486,487,18
487,488,18
488,489,18
489,490,19
490,491,18
491,492,17
492,493,16
493,494,17
494,495,17
495,496,17
496,497,16
497,498,19
498,499,19
499,500,20
