,Frame,Detections
0,1,9
1,2,9
2,3,9
3,4,9
4,5,8
5,6,8
6,7,8
7,8,8
8,9,8
9,10,8
10,11,8
11,12,8
12,13,8
13,14,8
14,15,8
15,16,8
16,17,9
17,18,9
18,19,8
19,20,8
20,21,10
21,22,8
22,23,8
23,24,9
24,25,9
25,26,9
26,27,8
27,28,8
28,29,8
29,30,8
30,31,8
31,32,8
32,33,8
33,34,8
34,35,8
35,36,8
36,37,8
37,38,9
38,39,8
39,40,8
40,41,7
41,42,8
42,43,8
43,44,8
44,45,8
45,46,8
46,47,9
47,48,8
48,49,8
49,50,9
50,51,10
51,52,10
52,53,10
53,54,10
54,55,11
55,56,9
56,57,9
57,58,9
58,59,10
59,60,10
60,61,10
61,62,9
62,63,9
63,64,9
64,65,9
65,66,9
66,67,9
67,68,9
68,69,9
69,70,9
70,71,9
71,72,9
72,73,9
73,74,10
74,75,9
75,76,9
76,77,9
77,78,7
78,79,7
79,80,8
80,81,8
81,82,8
82,83,7
83,84,7
84,85,7
85,86,7
86,87,7
87,88,7
88,89,7
89,90,7
90,91,8
91,92,8
92,93,7
93,94,7
94,95,7
95,96,6
96,97,6
97,98,6
98,99,6
99,100,6
100,101,6
101,102,6
102,103,6
103,104,6
104,105,6
105,106,7
106,107,8
107,108,8
108,109,8
109,110,8
110,111,8
111,112,8
112,113,8
113,114,8
114,115,8
115,116,8
116,117,8
117,118,8
118,119,9
119,120,7
120,121,6
121,122,10
122,123,11
123,124,9
124,125,8
125,126,9
126,127,9
127,128,9
128,129,8
129,130,9
130,131,9
131,132,9
132,133,9
133,134,10
134,135,10
135,136,10
136,137,10
137,138,10
138,139,9
139,140,9
140,141,9
141,142,9
142,143,9
143,144,8
144,145,8
145,146,8
146,147,7
147,148,8
148,149,8
149,150,7
150,151,7
151,152,9
152,153,7
153,154,7
154,155,8
155,156,8
156,157,8
157,158,8
158,159,9
159,160,9
160,161,8
161,162,8
162,163,8
163,164,8
164,165,9
165,166,9
166,167,9
167,168,8
168,169,8
169,170,9
170,171,8
171,172,8
172,173,10
173,174,9
174,175,9
175,176,9
176,177,10
177,178,10
