,Frame,Detections
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,1
6,7,1
7,8,2
8,9,2
9,10,2
10,11,3
11,12,2
12,13,2
13,14,2
14,15,2
15,1,2
16,2,2
17,3,2
18,4,3
19,5,3
20,6,2
21,7,3
22,8,2
23,9,2
24,10,3
25,11,3
26,12,3
27,13,3
28,14,3
29,15,1
30,1,1
31,2,1
32,3,1
33,4,1
34,5,2
35,6,0
36,7,1
37,8,1
38,9,1
39,10,0
40,11,1
41,12,1
42,13,1
43,14,1
44,15,2
45,1,2
46,2,2
47,3,2
48,4,2
49,5,3
50,6,3
51,7,4
52,8,3
53,9,2
54,10,2
55,11,2
56,12,2
57,13,2
58,14,0
59,15,1
60,1,0
61,2,1
62,3,1
63,4,0
64,5,0
65,6,0
66,7,0
67,8,0
68,9,0
69,10,0
70,11,0
71,12,0
72,13,0
73,14,0
74,15,0
75,1,1
76,2,1
77,3,1
78,4,0
79,5,1
80,6,1
81,7,1
82,8,1
83,9,1
84,10,1
85,11,1
86,12,0
87,13,0
88,14,0
89,15,1
90,1,0
91,2,0
92,3,0
93,4,0
94,5,0
95,6,0
96,7,0
97,8,0
98,9,0
99,10,0
100,11,0
101,12,0
102,13,0
103,14,0
104,15,0
105,1,0
106,2,0
107,3,0
108,4,1
109,5,1
110,6,2
111,7,2
112,8,2
113,9,0
114,10,0
115,11,0
116,12,0
117,13,0
118,14,0
119,15,0
120,1,0
121,2,0
122,3,0
123,4,0
124,5,0
125,6,0
126,7,0
127,8,0
128,9,0
129,10,0
130,11,0
131,12,0
132,13,0
133,14,0
134,15,0
135,1,0
136,2,0
137,3,0
138,4,0
139,5,0
140,6,1
141,7,0
142,8,0
143,9,0
144,10,1
145,11,1
146,12,1
147,13,1
148,14,1
149,15,1
150,1,1
151,2,1
152,3,1
153,4,1
154,5,2
155,6,2
156,7,1
157,8,1
158,9,1
159,10,1
160,11,1
161,12,0
162,13,1
163,14,0
164,15,0
165,1,0
166,2,0
167,3,0
168,4,0
169,5,0
170,6,1
171,7,1
172,8,1
173,9,1
174,10,1
175,11,1
176,12,1
177,13,1
178,14,1
179,15,1
180,1,1
181,2,1
182,3,1
183,4,1
184,5,1
185,6,1
186,7,1
187,8,1
188,9,1
189,10,1
190,11,1
191,12,1
192,13,1
193,14,1
194,15,1
195,1,1
196,2,1
197,3,1
198,4,1
199,5,1
200,6,1
201,7,1
202,8,1
203,9,1
204,10,1
205,11,1
206,12,1
207,13,1
208,14,1
209,15,1
210,1,1
211,2,1
212,3,1
213,4,1
214,5,0
215,6,1
216,7,1
217,8,1
218,9,0
219,10,1
220,11,2
221,12,2
222,13,2
223,14,2
224,15,2
225,1,2
226,2,2
227,3,1
228,4,1
229,5,2
230,6,2
231,7,2
232,8,1
233,9,1
234,10,2
235,11,2
236,12,2
237,13,2
238,14,2
239,15,2
240,1,2
241,2,2
242,3,2
243,4,2
244,5,2
245,6,2
246,7,2
247,8,2
248,9,1
249,10,2
250,11,3
251,12,2
252,13,2
253,14,2
254,15,2
255,1,2
256,2,4
257,3,4
258,4,4
259,5,3
260,6,4
261,7,3
262,8,2
263,9,2
264,10,1
265,11,1
266,12,1
267,13,1
268,14,2
269,15,3
270,1,3
271,2,2
272,3,2
273,4,2
274,5,3
275,6,3
