,Frame,Detections
0,1,2
1,2,2
2,3,6
3,4,7
4,5,3
5,6,1
6,7,3
7,8,3
8,9,3
9,10,3
10,11,3
11,12,4
12,13,4
13,14,4
14,15,5
15,1,6
16,2,6
17,3,5
18,4,5
19,5,5
20,6,5
21,7,5
22,8,3
23,9,4
24,10,4
25,11,4
26,12,4
27,13,3
28,14,2
29,15,5
30,1,5
31,2,4
32,3,3
33,4,2
34,5,3
35,6,2
36,7,3
37,8,2
38,9,2
39,10,2
40,11,3
41,12,2
42,13,3
43,14,3
44,15,3
45,1,3
46,2,3
47,3,3
48,4,4
49,5,4
50,6,4
51,7,3
52,8,3
53,9,3
54,10,3
55,11,3
56,12,4
57,13,3
58,14,4
59,15,3
60,1,3
61,2,3
62,3,3
63,4,3
64,5,3
65,6,3
66,7,3
67,8,3
68,9,3
69,10,3
70,11,2
71,12,2
72,13,1
73,14,1
74,15,3
75,1,2
76,2,3
77,3,3
78,4,3
79,5,4
80,6,2
81,7,3
82,8,3
83,9,3
84,10,2
85,11,2
86,12,3
87,13,3
88,14,1
89,15,2
90,1,3
91,2,2
92,3,2
93,4,4
94,5,4
95,6,3
96,7,3
97,8,2
98,9,3
99,10,3
100,11,3
101,12,4
102,13,3
103,14,4
104,15,5
105,1,4
106,2,4
107,3,5
108,4,5
109,5,4
110,6,4
111,7,4
112,8,5
113,9,5
114,10,4
115,11,5
116,12,5
117,13,4
118,14,4
119,15,1
120,1,1
121,2,3
122,3,4
123,4,4
124,5,4
125,6,3
126,7,3
127,8,3
128,9,3
129,10,3
130,11,3
131,12,3
132,13,3
133,14,3
134,15,3
135,1,3
136,2,2
137,3,2
138,4,2
139,5,1
140,6,2
141,7,1
142,8,1
143,9,1
144,10,0
145,11,1
146,12,1
147,13,2
148,14,2
149,15,2
150,1,2
151,2,2
152,3,2
153,4,2
154,5,2
155,6,2
156,7,2
157,8,2
158,9,3
159,10,2
160,11,2
161,12,2
162,13,0
163,14,1
164,15,1
165,1,1
166,2,1
167,3,0
168,4,1
169,5,1
170,6,2
171,7,2
