,Frame,Detections
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,1
6,7,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,1,0
16,2,0
17,3,0
18,4,1
19,5,1
20,6,1
21,7,1
22,8,1
23,9,1
24,10,1
25,11,1
26,12,1
27,13,1
28,14,1
29,15,1
30,1,0
31,2,0
32,3,0
33,4,0
34,5,0
35,6,0
36,7,0
37,8,0
38,9,0
39,10,0
40,11,0
41,12,0
42,13,0
43,14,0
44,15,0
45,1,0
46,2,0
47,3,0
48,4,0
49,5,0
50,6,0
51,7,0
52,8,0
53,9,0
54,10,1
55,11,1
56,12,1
57,13,1
58,14,1
59,15,1
60,1,1
61,2,1
62,3,1
63,4,1
64,5,1
65,6,1
66,7,1
67,8,1
68,9,1
69,10,1
70,11,2
71,12,1
72,13,2
73,14,1
74,15,1
75,1,3
76,2,0
77,3,0
78,4,1
79,5,1
80,6,2
81,7,1
82,8,1
83,9,1
84,10,1
85,11,1
86,12,1
87,13,1
88,14,1
89,15,2
90,1,2
91,2,2
92,3,2
93,4,1
94,5,1
95,6,0
96,7,1
97,8,1
98,9,1
99,10,3
100,11,3
101,12,3
102,13,3
103,14,2
104,15,0
105,1,1
106,2,3
107,3,2
108,4,1
109,5,2
110,6,2
111,7,1
112,8,0
113,9,1
114,10,0
115,11,0
116,12,1
117,13,1
118,14,2
119,15,2
120,1,2
121,2,0
122,3,1
123,4,2
124,5,1
125,6,2
126,7,2
127,8,2
128,9,2
129,10,1
130,11,1
131,12,0
132,13,0
133,14,0
134,15,0
135,1,0
136,2,0
137,3,0
138,4,0
139,5,2
140,6,2
141,7,2
142,8,1
143,9,1
144,10,0
145,11,0
146,12,0
147,13,0
148,14,1
149,15,0
150,1,0
151,2,0
152,3,0
153,4,1
154,5,2
155,6,2
156,7,1
157,8,1
158,9,1
159,10,0
160,11,1
161,12,1
162,13,0
163,14,0
164,15,0
165,1,1
166,2,0
167,3,0
168,4,0
169,5,0
170,6,1
171,7,1
172,8,1
173,9,0
174,10,1
175,11,0
176,12,0
177,13,1
178,14,0
179,15,0
180,1,0
181,2,0
182,3,1
183,4,0
184,5,0
185,6,1
186,7,1
187,8,1
188,9,1
189,10,1
190,11,1
191,12,0
192,13,0
193,14,0
194,15,0
195,1,0
196,2,0
197,3,0
198,4,0
199,5,0
200,6,0
201,7,0
202,8,0
203,9,0
204,10,1
205,11,0
206,12,0
207,13,0
208,14,1
209,15,1
210,1,1
211,2,2
212,3,2
213,4,1
214,5,2
215,6,1
216,7,2
217,8,2
218,9,2
219,10,3
220,11,3
221,12,3
222,13,3
223,14,1
224,15,1
225,1,1
226,2,1
227,3,1
228,4,0
229,5,0
230,6,0
231,7,0
232,8,0
233,9,0
234,10,0
235,11,0
236,12,0
237,13,0
238,14,0
239,15,0
240,1,0
241,2,0
242,3,2
243,4,1
244,5,2
245,6,1
246,7,2
247,8,1
248,9,1
249,10,1
250,11,1
251,12,1
252,13,1
253,14,1
254,15,1
255,1,1
256,2,1
257,3,1
258,4,1
259,5,2
260,6,1
261,7,1
262,8,1
263,9,1
264,10,1
265,11,0
266,12,1
267,13,1
268,14,0
269,15,1
270,1,2
271,2,2
272,3,1
273,4,0
274,5,1
275,6,3
