,Frame,Detections
0,1,3
1,2,3
2,3,4
3,4,4
4,5,4
5,6,3
6,7,2
7,8,2
8,9,2
9,10,2
10,11,3
11,12,2
12,13,2
13,14,2
14,15,2
15,1,3
16,2,2
17,3,2
18,4,0
19,5,1
20,6,1
21,7,1
22,8,1
23,9,0
24,10,0
25,11,0
26,12,2
27,13,0
28,14,1
29,15,1
30,1,1
31,2,2
32,3,1
33,4,1
34,5,1
35,6,1
36,7,1
37,8,1
38,9,1
39,10,0
40,11,3
41,12,1
42,13,0
43,14,0
44,15,0
45,1,0
46,2,0
47,3,0
48,4,0
49,5,1
50,6,0
51,7,0
52,8,2
53,9,0
54,10,1
55,11,2
56,12,1
57,13,1
58,14,1
59,15,1
60,1,1
61,2,1
62,3,1
63,4,1
64,5,0
65,6,0
66,7,0
67,8,1
68,9,0
69,10,0
70,11,0
71,12,1
72,13,2
73,14,3
74,15,2
75,1,4
76,2,3
77,3,3
78,4,2
79,5,1
80,6,3
81,7,3
82,8,3
83,9,2
84,10,1
85,11,1
86,12,3
87,13,2
88,14,2
89,15,3
90,1,3
91,2,5
92,3,4
93,4,4
94,5,2
95,6,3
96,7,2
97,8,2
98,9,3
99,10,5
100,11,4
101,12,5
102,13,5
103,14,5
104,15,4
105,1,4
106,2,3
107,3,3
108,4,3
109,5,3
110,6,3
111,7,3
112,8,1
113,9,2
114,10,2
115,11,3
116,12,2
117,13,4
118,14,4
119,15,3
120,1,5
121,2,3
122,3,2
123,4,4
124,5,3
125,6,5
126,7,3
127,8,2
128,9,3
129,10,4
130,11,5
131,12,2
132,13,3
133,14,3
134,15,4
135,1,3
136,2,3
137,3,4
138,4,3
139,5,2
140,6,1
141,7,2
142,8,2
143,9,3
144,10,3
145,11,3
146,12,2
147,13,2
148,14,1
149,15,1
150,1,2
151,2,0
152,3,1
153,4,2
154,5,3
155,6,3
156,7,1
157,8,2
158,9,3
159,10,3
160,11,2
161,12,2
162,13,2
163,14,3
164,15,3
165,1,3
166,2,3
167,3,2
168,4,4
169,5,4
170,6,3
171,7,3
172,8,4
173,9,5
174,10,4
175,11,4
176,12,3
177,13,3
178,14,3
179,15,4
180,1,5
181,2,4
182,3,4
183,4,5
184,5,5
185,6,7
186,7,3
187,8,4
188,9,5
189,10,5
190,11,6
191,12,5
192,13,7
193,14,7
194,15,8
195,1,5
196,2,5
197,3,3
198,4,5
199,5,4
200,6,4
201,7,3
202,8,3
203,9,4
204,10,3
205,11,3
206,12,3
207,13,4
208,14,5
209,15,6
210,1,7
211,2,4
212,3,3
213,4,4
214,5,4
215,6,5
216,7,6
217,8,6
218,9,5
219,10,4
220,11,4
221,12,5
222,13,2
223,14,2
224,15,6
225,1,4
226,2,6
227,3,3
228,4,3
229,5,3
230,6,2
231,7,1
232,8,3
233,9,3
234,10,3
235,11,3
236,12,3
237,13,3
238,14,3
239,15,2
240,1,3
241,2,2
242,3,2
243,4,1
244,5,4
245,6,3
246,7,3
247,8,3
248,9,3
249,10,4
250,11,5
251,12,3
252,13,6
253,14,6
254,15,7
255,1,5
256,2,4
257,3,5
258,4,4
259,5,5
260,6,5
261,7,6
262,8,7
263,9,7
264,10,7
265,11,5
266,12,2
267,13,3
268,14,3
269,15,2
270,1,3
271,2,5
272,3,4
273,4,3
274,5,4
275,6,4
276,7,2
277,8,2
278,9,5
279,10,4
280,11,6
281,12,8
282,13,7
283,14,8
284,15,6
285,1,8
286,2,7
287,3,7
288,4,6
289,5,8
290,6,7
291,7,5
292,8,4
293,9,4
294,10,8
295,11,6
296,12,6
297,13,4
298,14,4
299,15,5
300,1,2
301,2,5
302,3,4
303,4,5
304,5,3
305,6,4
306,7,5
307,8,5
308,9,5
309,10,5
310,11,5
311,12,6
312,13,5
313,14,4
314,15,6
315,1,4
316,2,5
317,3,4
318,4,4
319,5,4
320,6,5
321,7,3
322,8,4
323,9,3
324,10,2
325,11,2
326,12,2
327,13,5
328,14,5
329,15,6
330,1,6
331,2,6
332,3,4
333,4,2
334,5,3
335,6,5
336,7,4
337,8,3
338,9,3
339,10,3
340,11,3
341,12,4
342,13,4
343,14,3
344,15,2
345,1,5
346,2,5
347,3,6
348,4,5
349,5,6
350,6,6
351,7,3
352,8,2
353,9,2
354,10,3
355,11,4
356,12,3
357,13,3
358,14,4
359,15,3
360,1,3
361,2,2
362,3,3
363,4,3
364,5,3
365,6,3
366,7,3
367,8,4
368,9,3
369,10,3
370,11,3
371,12,3
372,13,3
