,Frame,Detections
0,1,1
1,2,1
2,3,1
3,4,0
4,5,1
5,6,3
6,7,3
7,8,3
8,9,3
9,10,2
10,11,2
11,12,2
12,13,1
13,14,2
14,15,3
15,1,4
16,2,2
17,3,4
18,4,3
19,5,3
20,6,3
21,7,5
22,8,2
23,9,2
24,10,1
25,11,3
26,12,3
27,13,3
28,14,4
29,15,3
30,1,2
31,2,1
32,3,1
33,4,1
34,5,3
35,6,2
36,7,3
37,8,3
38,9,3
39,10,3
40,11,2
41,12,1
42,13,1
43,14,0
44,15,0
45,1,1
46,2,2
47,3,1
48,4,1
49,5,1
50,6,2
51,7,2
52,8,4
53,9,4
54,10,3
55,11,2
56,12,3
57,13,2
58,14,3
59,15,1
60,1,3
61,2,3
62,3,3
63,4,2
64,5,2
65,6,2
66,7,0
67,8,0
68,9,1
69,10,1
70,11,2
71,12,1
72,13,2
73,14,3
74,15,1
75,1,1
76,2,2
77,3,3
78,4,2
79,5,4
80,6,1
81,7,3
82,8,3
83,9,3
84,10,2
85,11,1
86,12,1
87,13,0
88,14,1
89,15,0
90,1,1
91,2,1
92,3,3
93,4,4
94,5,3
95,6,2
96,7,2
97,8,1
98,9,1
99,10,1
100,11,2
101,12,2
102,13,2
103,14,3
104,15,2
105,1,1
106,2,1
107,3,1
108,4,1
109,5,0
110,6,0
111,7,1
112,8,2
113,9,3
114,10,1
115,11,1
116,12,1
117,13,1
118,14,0
119,15,0
120,1,1
121,2,0
122,3,1
123,4,3
124,5,2
125,6,2
126,7,2
127,8,2
128,9,3
129,10,2
130,11,2
131,12,2
132,13,2
133,14,2
134,15,2
135,1,1
136,2,1
137,3,2
138,4,1
139,5,1
140,6,1
141,7,2
142,8,1
143,9,2
144,10,2
145,11,2
146,12,2
147,13,2
148,14,2
149,15,2
150,1,2
151,2,1
152,3,1
153,4,2
154,5,2
155,6,2
156,7,2
157,8,2
158,9,1
159,10,1
160,11,0
161,12,0
162,13,0
163,14,2
164,15,1
165,1,3
166,2,2
167,3,3
168,4,2
169,5,2
170,6,3
171,7,3
172,8,2
173,9,3
174,10,2
175,11,3
176,12,3
177,13,1
178,14,3
179,15,4
180,1,4
181,2,3
182,3,5
183,4,6
184,5,5
185,6,6
186,7,4
187,8,4
188,9,4
189,10,4
190,11,5
191,12,5
192,13,6
193,14,6
194,15,7
195,1,3
196,2,4
197,3,4
198,4,4
199,5,3
200,6,2
201,7,3
202,8,3
203,9,3
204,10,3
205,11,4
206,12,4
207,13,2
208,14,2
209,15,2
210,1,2
211,2,2
212,3,3
213,4,3
214,5,2
215,6,5
216,7,5
217,8,5
218,9,5
219,10,3
220,11,3
221,12,3
222,13,3
223,14,3
224,15,3
225,1,3
226,2,3
227,3,3
228,4,3
229,5,3
230,6,2
231,7,2
232,8,2
233,9,2
234,10,3
235,11,2
236,12,2
237,13,3
238,14,5
239,15,3
240,1,3
241,2,3
242,3,4
243,4,3
244,5,3
245,6,3
246,7,4
247,8,3
248,9,3
249,10,4
250,11,3
251,12,2
252,13,2
253,14,4
254,15,3
255,1,4
256,2,3
257,3,4
258,4,4
259,5,4
260,6,5
261,7,4
262,8,4
263,9,4
264,10,4
265,11,4
266,12,3
267,13,2
268,14,3
269,15,4
270,1,4
271,2,4
272,3,5
273,4,6
274,5,5
275,6,5
276,7,4
277,8,3
278,9,5
279,10,6
280,11,5
281,12,5
282,13,5
283,14,5
284,15,5
285,1,5
286,2,5
287,3,4
288,4,5
289,5,5
290,6,4
291,7,4
292,8,5
293,9,4
294,10,5
295,11,5
296,12,5
297,13,5
298,14,4
299,15,5
300,1,5
301,2,4
302,3,5
303,4,4
304,5,5
305,6,5
306,7,5
307,8,4
308,9,4
309,10,5
310,11,5
311,12,5
312,13,5
313,14,5
314,15,5
315,1,5
316,2,5
317,3,4
318,4,5
319,5,5
320,6,5
321,7,5
322,8,3
323,9,3
324,10,4
325,11,5
326,12,6
327,13,6
328,14,6
329,15,6
330,1,4
331,2,3
332,3,4
333,4,5
334,5,3
335,6,4
336,7,2
337,8,5
338,9,5
339,10,5
340,11,3
341,12,4
342,13,4
343,14,4
344,15,2
345,1,2
346,2,4
347,3,5
348,4,6
349,5,5
350,6,5
351,7,4
352,8,5
353,9,5
354,10,5
355,11,5
356,12,5
357,13,5
358,14,4
359,15,5
360,1,5
361,2,4
362,3,4
363,4,5
364,5,6
365,6,5
366,7,6
367,8,4
368,9,4
369,10,5
370,11,5
371,12,4
372,13,3
373,14,3
374,15,3
375,1,3
376,2,5
377,3,4
378,4,4
379,5,5
380,6,5
381,7,5
382,8,4
383,9,4
384,10,4
385,11,4
386,12,4
387,13,5
388,14,5
389,15,4
390,1,5
391,2,3
392,3,5
393,4,2
394,5,5
395,6,3
396,7,3
397,8,3
398,9,5
399,10,6
400,11,4
401,12,5
402,13,5
403,14,5
404,15,5
405,1,4
406,2,4
407,3,4
408,4,4
409,5,4
410,6,4
411,7,4
412,8,5
413,9,2
414,10,2
415,11,3
416,12,4
417,13,5
418,14,3
419,15,3
420,1,2
421,2,2
422,3,1
423,4,2
424,5,1
425,6,1
426,7,2
427,8,2
428,9,1
429,10,0
430,11,1
431,12,0
432,13,2
433,14,1
434,15,2
435,1,5
436,2,2
437,3,1
438,4,1
439,5,1
440,6,1
441,7,1
